appid;name;developer;publisher;release_date;price;is_free;owners_lower_bound;ccu;rating_porcentaje;positive;negative;hub_followers;total_achievements;total_dlcs;supported_languages;controller_support;platform_windows;platform_mac;platform_linux;min_ram_gb;dev_game_count;dev_experience;short_desc_len;genre_action;genre_adventure;genre_casual;genre_free_to_play;genre_indie;genre_massively_multiplayer;genre_rpg;genre_racing;genre_simulation;genre_sports;genre_strategy;genre_violent;genre_gore;genre_early_access;cat_single_player;cat_multi_player;cat_co_op;cat_online_co_op;cat_local_co_op;cat_full_controller_support;cat_partial_controller_support;cat_steam_achievements;cat_steam_cloud;cat_steam_workshop;cat_in_app_purchases;cat_steam_trading_cards;cat_remote_play_together;cat_shared_split_screen_co_op;tag_pixel_art;tag_first_person;tag_open_world;tag_crafting;tag_permadeath;tag_story_rich;tag_roguelike;tag_roguelite;tag_survival;tag_horror;tag_rpg;tag_action_rpg;tag_turn_based;tag_strategy;tag_tower_defense;tag_platformer;tag_metroidvania;tag_soulslike;tag_co_op;tag_multiplayer;tag_local_co_op;tag_pvp;tag_battle_royale;tag_sandbox;tag_simulation;tag_management;tag_city_builder;tag_sports;tag_racing;tag_puzzle;tag_point_&_click;tag_visual_novel;tag_anime;tag_2d;tag_3d;tag_realistic;tag_low_poly;tag_cartoon;tag_dark;tag_atmospheric;tag_relaxing;tag_difficult;tag_casual;tag_indie;tag_early_access;tag_free_to_play;tag_vr;tag_moba;tag_fps;tag_stealth;ts_total_reviews;ts_positive;ts_negative;ts_steam_purchase;ts_early_access;ts_months_active;ts_avg_playtime_hrs;ts_positive_ratio;label
730;Counter-Strike 2;Valve;Valve;21 Aug, 2012;0.0;1;100000000;1013936;86.69;7642084;1173003;0;1;1;29;none;1;0;1;8.0;27;AAA;224;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1000;828;172;1000;0;1;443.46;0.828;1
1172470;Apex Legends™;Respawn;Electronic Arts;4 Nov, 2020;0.0;1;100000000;124262;67.14;668053;326926;0;12;0;14;full;1;0;0;6.0;2;Novato;284;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1000;593;407;1000;0;1;374.08;0.593;1
578080;PUBG: BATTLEGROUNDS;PUBG Corporation;KRAFTON, Inc.;21 Dec, 2017;0.0;1;100000000;314682;59.44;1520457;1037487;0;37;0;17;none;1;0;0;8.0;1;Novato;248;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1000;703;297;1000;0;1;377.48;0.703;1
1623730;Palworld;Pocketpair;Pocketpair;18 Jan, 2024;28.99;0;50000000;18028;94.1;358266;22443;0;57;1;17;full;1;0;0;16.0;2;Novato;157;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1000;942;58;811;1000;1;131.98;0.942;1
440;Team Fortress 2;Valve;Valve;10 Oct, 2007;0.0;1;50000000;43819;89.91;1044264;117208;0;520;1;27;none;1;0;1;0.5;27;AAA;169;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1000;903;97;1000;0;1;202.3;0.903;1
1938090;Call of Duty®;Treyarch, Raven Software, Beenox, High Moon Studios, Sledgehammer Games, Infinity Ward, Activision Shanghai, Demonware;Activision;27 Oct, 2022;0.0;0;50000000;67419;58.76;419594;294520;0;157;46;14;none;1;0;0;8.0;1;Novato;122;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;999;601;398;383;0;1;179.3;0.602;1
1063730;New World: Aeternum;Amazon Game Studios;Amazon Game Studios;28 Sep, 2021;0.0;0;50000000;5583;68.6;196798;90080;0;133;0;8;none;1;0;0;8.0;1;Novato;148;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;340;660;823;0;5;549.88;0.34;1
2358720;Black Myth: Wukong;Game Science;Game Science;19 Aug, 2024;59.99;0;50000000;15004;96.66;1111720;38378;0;81;2;15;full;1;0;0;16.0;2;Novato;235;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;999;917;82;683;0;1;74.71;0.918;1
271590;Grand Theft Auto V Legacy;Rockstar North;Rockstar Games;13 Apr, 2015;0.0;0;50000000;67851;87.41;1739980;250576;0;77;0;13;full;1;0;0;4.0;2;Novato;235;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1000;934;66;853;0;1;292.31;0.934;1
550;Left 4 Dead 2;Valve;Valve;16 Nov, 2009;9.75;0;50000000;25122;97.54;940221;23762;0;101;1;28;full;1;0;1;2.0;27;AAA;229;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1000;968;32;849;0;1;132.38;0.968;1
